customer_id,company_name,segment,region,country,join_date,contract_type,payment_method,paperless_billing,tenure_months,monthly_charges,total_charges,support_tickets,satisfaction_score,churn
CUST-0001,Vivienne Enterprises,Mid-Market,North America,Canada,2024-05-26,One-Year,Credit Card,0,28,1072.62,28792.8,1,4,0
CUST-0002,Nathan Technologies,Mid-Market,North America,United States,2023-09-14,Month-to-Month,Bank Wire,1,36,984.99,35619.0,1,3,0
CUST-0003,Hassan Solutions,SMB,EMEA,United Kingdom,2026-04-15,One-Year,Bank Wire,1,5,404.45,2114.71,1,3,0
CUST-0004,Kavita Enterprises,Mid-Market,North America,United States,2026-06-08,One-Year,Automated ACH,1,3,1606.78,4837.8,0,4,0
CUST-0005,Mei Enterprises,SMB,EMEA,France,2025-07-02,Month-to-Month,Credit Card,1,14,526.74,7732.18,2,3,0
CUST-0006,Hassan Enterprises,SMB,North America,Canada,2024-12-15,Month-to-Month,Bank Wire,1,21,347.53,7445.42,2,5,0
CUST-0007,William Enterprises,Mid-Market,EMEA,Germany,2024-09-20,Month-to-Month,Bank Wire,0,24,1274.59,31018.42,0,3,1
CUST-0008,Siddharth Ventures,Mid-Market,EMEA,United Kingdom,2026-03-20,One-Year,Credit Card,1,6,833.36,5206.73,1,3,0
CUST-0009,Tara Capital,Mid-Market,North America,Canada,2025-08-03,Month-to-Month,Bank Wire,1,13,1221.11,15971.85,4,3,0
CUST-0010,Ingrid Systems,Mid-Market,North America,Canada,2025-04-21,One-Year,Bank Wire,1,17,1005.12,16420.05,1,4,0
CUST-0011,Vivienne Logistics,SMB,APAC,South Korea,2023-11-20,Month-to-Month,Automated ACH,1,34,474.02,16875.9,1,4,0
CUST-0012,Alexander Enterprises,SMB,EMEA,France,2023-09-23,Month-to-Month,Credit Card,1,36,237.8,8949.3,0,5,1
CUST-0013,Yuki Health,Mid-Market,LATAM,Brazil,2024-11-23,Two-Year,Bank Wire,1,22,1040.8,23147.12,3,3,1
CUST-0014,Evelyn Capital,SMB,APAC,Japan,2024-01-16,Month-to-Month,Automated ACH,0,32,490.62,16220.55,4,5,0
CUST-0015,Julian Ventures,Enterprise,North America,United States,2025-04-10,One-Year,Automated ACH,1,17,2466.56,40362.28,1,4,1
CUST-0016,William Solutions,Mid-Market,LATAM,Brazil,2024-09-08,Month-to-Month,Bank Wire,1,24,819.76,20126.61,1,3,0
CUST-0017,Gabriella Health,Mid-Market,North America,Canada,2024-09-11,Month-to-Month,Bank Wire,1,24,699.58,15985.74,3,2,1
CUST-0018,Siddharth Ventures,Enterprise,EMEA,United Kingdom,2025-01-05,Month-to-Month,Bank Wire,1,20,2223.85,43722.8,0,5,0
CUST-0019,Rania Ventures,Mid-Market,North America,Canada,2025-03-22,One-Year,Automated ACH,1,18,1159.71,20338.29,3,3,0
CUST-0020,Patrick Media,SMB,North America,United States,2023-12-21,Month-to-Month,Credit Card,1,33,563.82,18928.62,1,5,0
CUST-0021,Vivienne Enterprises,SMB,North America,Canada,2025-11-18,Month-to-Month,Bank Wire,1,10,404.13,4009.73,2,2,1
