transaction_id,customer_id,product_id,rep_id,transaction_date,quantity,unit_price,discount_pct,gross_amount,total_amount,total_cost,net_profit,payment_status,fulfillment_days,is_anomaly
TXN-10001,CUST-0649,PROD-10,REP-01,2024-09-18 06:28:30,2,449.0,0.0,898.0,898.0,300.0,598.0,Completed,7,0
TXN-10002,CUST-0853,PROD-02,REP-01,2024-09-18 11:00:30,1,799.0,0.1,799.0,719.1,220.0,499.1,Completed,1,0
TXN-10003,CUST-0354,PROD-01,REP-08,2024-09-18 04:40:30,1,1499.0,0.0,1499.0,1499.0,450.0,1049.0,Completed,2,0
TXN-10004,CUST-0007,PROD-05,REP-06,2024-09-18 03:15:30,2,599.0,0.0,1198.0,1198.0,360.0,838.0,Completed,2,0
TXN-10005,CUST-1160,PROD-02,REP-05,2024-09-18 11:40:30,1,799.0,0.0,799.0,799.0,220.0,579.0,Completed,2,0
TXN-10006,CUST-0042,PROD-01,REP-02,2024-09-18 02:55:30,1,1499.0,0.0,1499.0,1499.0,450.0,1049.0,Completed,3,0
TXN-10007,CUST-0631,PROD-12,REP-01,2024-09-18 11:50:30,3,899.0,0.0,2697.0,2697.0,840.0,1857.0,Completed,3,0
TXN-10008,CUST-0365,PROD-03,REP-06,2024-09-18 11:53:30,2,2199.0,0.0,4398.0,4398.0,1300.0,3098.0,Completed,1,0
TXN-10009,CUST-0409,PROD-05,REP-01,2024-09-18 05:31:30,1,599.0,0.0,599.0,599.0,180.0,419.0,Completed,5,0
TXN-10010,CUST-0745,PROD-11,REP-06,2024-09-18 06:12:30,2,299.0,0.1,598.0,538.2,180.0,358.2,Completed,3,0
TXN-10011,CUST-1199,PROD-03,REP-05,2024-09-18 02:37:30,2,2199.0,0.0,4398.0,4398.0,1300.0,3098.0,Completed,4,0
TXN-10012,CUST-0592,PROD-06,REP-01,2024-09-18 06:16:30,2,1099.0,0.05,2198.0,2088.1,620.0,1468.1,Completed,4,0
TXN-10013,CUST-0186,PROD-05,REP-01,2024-09-18 12:52:30,1,599.0,0.0,599.0,599.0,180.0,419.0,Refunded,5,0
TXN-10014,CUST-0382,PROD-03,REP-05,2024-09-18 09:17:30,2,2199.0,0.0,4398.0,4398.0,1300.0,3098.0,Completed,4,0
TXN-10015,CUST-0070,PROD-12,REP-05,2024-09-18 11:12:30,1,899.0,0.0,899.0,899.0,280.0,619.0,Completed,4,0
TXN-10016,CUST-0974,PROD-06,REP-05,2024-09-18 03:01:30,2,1099.0,0.0,2198.0,2198.0,620.0,1578.0,Refunded,1,0
TXN-10017,CUST-0957,PROD-01,REP-01,2024-09-18 04:45:30,1,1499.0,0.05,1499.0,1424.05,450.0,974.05,Completed,4,0
TXN-10018,CUST-0818,PROD-04,REP-05,2024-09-18 12:02:30,1,499.0,0.0,499.0,499.0,120.0,379.0,Completed,1,0
TXN-10019,CUST-0615,PROD-04,REP-04,2024-09-18 11:00:30,2,84.0,0.5,168.0,84.0,240.0,-156.0,Completed,4,1
TXN-10020,CUST-1183,PROD-10,REP-06,2024-09-18 12:52:30,1,449.0,0.05,449.0,426.55,150.0,276.55,Refunded,2,0
TXN-10021,CUST-1074,PROD-10,REP-04,2024-09-19 10:19:30,3,449.0,0.0,1347.0,1347.0,450.0,897.0,Completed,3,0
TXN-10022,CUST-0634,PROD-06,REP-02,2024-09-19 00:40:30,2,1099.0,0.0,2198.0,2198.0,620.0,1578.0,Completed,3,0
TXN-10023,CUST-0353,PROD-05,REP-05,2024-09-19 02:47:30,1,599.0,0.0,599.0,599.0,180.0,419.0,Completed,4,0
TXN-10024,CUST-0502,PROD-11,REP-01,2024-09-19 02:21:30,2,299.0,0.1,598.0,538.2,180.0,358.2,Completed,5,0
TXN-10025,CUST-0205,PROD-09,REP-06,2024-09-19 02:57:30,2,1299.0,0.05,2598.0,2468.1,780.0,1688.1,Refunded,5,0
TXN-10026,CUST-0950,PROD-02,REP-01,2024-09-19 10:59:30,1,799.0,0.0,799.0,799.0,220.0,579.0,Refunded,1,0
TXN-10027,CUST-0670,PROD-11,REP-05,2024-09-19 07:24:30,3,299.0,0.0,897.0,897.0,270.0,627.0,Completed,3,0
TXN-10028,CUST-1001,PROD-04,REP-01,2024-09-19 01:57:30,4,499.0,0.0,1996.0,1996.0,480.0,1516.0,Completed,1,0
TXN-10029,CUST-1027,PROD-10,REP-01,2024-09-19 05:56:30,2,449.0,0.0,898.0,898.0,300.0,598.0,Completed,1,0
TXN-10030,CUST-1024,PROD-01,REP-02,2024-09-19 03:43:30,1,1499.0,0.0,1499.0,1499.0,450.0,1049.0,Completed,5,0
TXN-10031,CUST-0872,PROD-05,REP-03,2024-09-19 10:46:30,1,599.0,0.05,599.0,569.05,180.0,389.05,Completed,6,0
TXN-10032,CUST-0368,PROD-07,REP-01,2024-09-19 05:01:30,2,1699.0,0.1,3398.0,3058.2,1000.0,2058.2,Completed,4,0
TXN-10033,CUST-0208,PROD-01,REP-05,2024-09-19 01:57:30,1,1499.0,0.0,1499.0,1499.0,450.0,1049.0,Completed,3,0
TXN-10034,CUST-0024,PROD-11,REP-05,2024-09-19 11:04:30,5,62.99999999999999,0.5,315.0,157.5,450.0,-292.5,Completed,4,1
TXN-10035,CUST-0871,PROD-12,REP-05,2024-09-20 00:54:30,2,899.0,0.05,1798.0,1708.1,560.0,1148.1,Completed,5,0
TXN-10036,CUST-0764,PROD-12,REP-06,2024-09-20 08:07:30,1,899.0,0.05,899.0,854.05,280.0,574.05,Completed,4,0
TXN-10037,CUST-0869,PROD-11,REP-06,2024-09-20 12:46:30,1,299.0,0.0,299.0,299.0,90.0,209.0,Refunded,1,0
TXN-10038,CUST-0529,PROD-09,REP-03,2024-09-20 12:12:30,3,1299.0,0.05,3897.0,3702.15,1170.0,2532.15,Completed,2,0
TXN-10039,CUST-0577,PROD-02,REP-01,2024-09-20 01:04:30,3,799.0,0.0,2397.0,2397.0,660.0,1737.0,Completed,2,0
TXN-10040,CUST-0757,PROD-07,REP-07,2024-09-20 10:18:30,1,1699.0,0.0,1699.0,1699.0,500.0,1199.0,Completed,1,0
TXN-10041,CUST-0367,PROD-06,REP-07,2024-09-20 08:52:30,1,1099.0,0.0,1099.0,1099.0,310.0,789.0,Completed,4,0
TXN-10042,CUST-0229,PROD-12,REP-05,2024-09-20 01:13:30,1,899.0,0.05,899.0,854.05,280.0,574.05,Completed,5,0
TXN-10043,CUST-0194,PROD-12,REP-02,2024-09-20 02:09:30,1,899.0,0.0,899.0,899.0,280.0,619.0,Completed,2,0
TXN-10044,CUST-0500,PROD-01,REP-05,2024-09-20 06:04:30,1,1499.0,0.0,1499.0,1499.0,450.0,1049.0,Completed,1,0
TXN-10045,CUST-0208,PROD-09,REP-05,2024-09-20 12:15:30,8,1299.0,0.0,10392.0,10392.0,3120.0,7272.0,Refunded,2,0
TXN-10046,CUST-0866,PROD-01,REP-05,2024-09-20 11:54:30,1,1499.0,0.05,1499.0,1424.05,450.0,974.05,Completed,3,0
TXN-10047,CUST-0163,PROD-02,REP-07,2024-09-20 12:31:30,3,799.0,0.05,2397.0,2277.15,660.0,1617.15,Processing,3,0
TXN-10048,CUST-1105,PROD-12,REP-03,2024-09-21 10:07:30,3,899.0,0.0,2697.0,2697.0,840.0,1857.0,Completed,3,0
TXN-10049,CUST-0895,PROD-12,REP-06,2024-09-21 13:34:30,2,899.0,0.0,1798.0,1798.0,560.0,1238.0,Completed,4,0
TXN-10050,CUST-0817,PROD-11,REP-01,2024-09-21 01:13:30,1,299.0,0.0,299.0,299.0,90.0,209.0,Completed,5,0
TXN-10051,CUST-0266,PROD-05,REP-06,2024-09-21 13:01:30,2,599.0,0.1,1198.0,1078.2,360.0,718.2,Completed,4,0
TXN-10052,CUST-0461,PROD-12,REP-01,2024-09-21 01:49:30,1,899.0,0.0,899.0,899.0,280.0,619.0,Completed,4,0
TXN-10053,CUST-0944,PROD-11,REP-05,2024-09-21 12:13:30,2,299.0,0.05,598.0,568.1,180.0,388.1,Completed,3,0
TXN-10054,CUST-0703,PROD-06,REP-05,2024-09-21 08:35:30,1,1099.0,0.0,1099.0,1099.0,310.0,789.0,Completed,1,0
TXN-10055,CUST-0432,PROD-11,REP-04,2024-09-21 12:06:30,1,299.0,0.0,299.0,299.0,90.0,209.0,Completed,4,0
TXN-10056,CUST-0997,PROD-02,REP-05,2024-09-21 09:40:30,1,799.0,0.2,799.0,639.2,220.0,419.2,Completed,4,0
TXN-10057,CUST-0646,PROD-11,REP-06,2024-09-21 05:23:30,2,299.0,0.0,598.0,598.0,180.0,418.0,Completed,4,0
TXN-10058,CUST-1157,PROD-07,REP-07,2024-09-21 09:57:30,8,1699.0,0.0,13592.0,13592.0,4000.0,9592.0,Cancelled,1,0
TXN-10059,CUST-1006,PROD-07,REP-04,2024-09-21 09:22:30,4,1699.0,0.0,6796.0,6796.0,2000.0,4796.0,Completed,5,0
TXN-10060,CUST-0811,PROD-04,REP-01,2024-09-21 01:41:30,8,499.0,0.05,3992.0,3792.4,960.0,2832.4,Completed,3,0
TXN-10061,CUST-0822,PROD-06,REP-06,2024-09-22 03:24:30,3,1099.0,0.0,3297.0,3297.0,930.0,2367.0,Completed,1,0
TXN-10062,CUST-0744,PROD-11,REP-01,2024-09-22 06:24:30,4,299.0,0.15,1196.0,1016.6,360.0,656.6,Completed,1,0
TXN-10063,CUST-1097,PROD-04,REP-05,2024-09-22 06:07:30,66,499.0,0.15,32934.0,27993.9,7920.0,20073.9,Completed,3,1
TXN-10064,CUST-0921,PROD-03,REP-01,2024-09-22 05:27:30,1,2199.0,0.0,2199.0,2199.0,650.0,1549.0,Completed,3,0
TXN-10065,CUST-0353,PROD-07,REP-01,2024-09-22 13:04:30,2,1699.0,0.0,3398.0,3398.0,1000.0,2398.0,Completed,1,0
TXN-10066,CUST-0060,PROD-03,REP-02,2024-09-22 04:15:30,2,2199.0,0.05,4398.0,4178.1,1300.0,2878.1,Completed,3,0
TXN-10067,CUST-0838,PROD-06,REP-02,2024-09-22 10:21:30,2,1099.0,0.0,2198.0,2198.0,620.0,1578.0,Completed,3,0
TXN-10068,CUST-0759,PROD-12,REP-01,2024-09-22 10:40:30,2,899.0,0.1,1798.0,1618.2,560.0,1058.2,Completed,5,0
TXN-10069,CUST-0396,PROD-08,REP-01,2024-09-22 09:30:30,1,699.0,0.1,699.0,629.1,200.0,429.1,Completed,3,0
TXN-10070,CUST-0410,PROD-03,REP-05,2024-09-22 12:33:30,1,2199.0,0.1,2199.0,1979.1,650.0,1329.1,Completed,4,0
TXN-10071,CUST-0502,PROD-04,REP-05,2024-09-22 08:04:30,3,499.0,0.2,1497.0,1197.6,360.0,837.6,Completed,5,0
TXN-10072,CUST-0679,PROD-04,REP-01,2024-09-22 02:26:30,2,499.0,0.15,998.0,848.3,240.0,608.3,Completed,3,0
TXN-10073,CUST-0833,PROD-07,REP-05,2024-09-22 01:18:30,1,1699.0,0.0,1699.0,1699.0,500.0,1199.0,Completed,2,0
TXN-10074,CUST-0248,PROD-08,REP-01,2024-09-22 12:09:30,2,699.0,0.05,1398.0,1328.1,400.0,928.1,Completed,4,0
TXN-10075,CUST-0082,PROD-07,REP-05,2024-09-22 07:28:30,2,1699.0,0.05,3398.0,3228.1,1000.0,2228.1,Completed,6,0
TXN-10076,CUST-0255,PROD-03,REP-02,2024-09-22 07:25:30,3,2199.0,0.1,6597.0,5937.3,1950.0,3987.3,Completed,4,0
TXN-10077,CUST-0347,PROD-07,REP-05,2024-09-23 12:42:30,2,1699.0,0.0,3398.0,3398.0,1000.0,2398.0,Completed,5,0
TXN-10078,CUST-0542,PROD-06,REP-01,2024-09-23 07:48:30,2,1099.0,0.0,2198.0,2198.0,620.0,1578.0,Completed,2,0
TXN-10079,CUST-0502,PROD-06,REP-05,2024-09-23 08:23:30,1,1099.0,0.0,1099.0,1099.0,310.0,789.0,Completed,2,0
TXN-10080,CUST-1164,PROD-10,REP-06,2024-09-23 11:51:30,1,449.0,0.0,449.0,449.0,150.0,299.0,Completed,4,0
TXN-10081,CUST-0760,PROD-12,REP-06,2024-09-23 00:49:30,1,899.0,0.15,899.0,764.15,280.0,484.15,Completed,4,0
TXN-10082,CUST-0974,PROD-11,REP-05,2024-09-23 10:54:30,1,299.0,0.05,299.0,284.05,90.0,194.05,Completed,4,0
TXN-10083,CUST-0599,PROD-05,REP-05,2024-09-23 03:13:30,2,599.0,0.0,1198.0,1198.0,360.0,838.0,Completed,4,0
TXN-10084,CUST-1197,PROD-05,REP-02,2024-09-23 04:44:30,1,599.0,0.05,599.0,569.05,180.0,389.05,Completed,2,0
TXN-10085,CUST-0977,PROD-06,REP-02,2024-09-23 09:00:30,2,1099.0,0.05,2198.0,2088.1,620.0,1468.1,Completed,3,0
TXN-10086,CUST-0775,PROD-11,REP-06,2024-09-23 08:58:30,1,299.0,0.05,299.0,284.05,90.0,194.05,Completed,3,0
TXN-10087,CUST-0133,PROD-04,REP-05,2024-09-23 06:35:30,1,499.0,0.0,499.0,499.0,120.0,379.0,Completed,4,0
TXN-10088,CUST-0245,PROD-06,REP-03,2024-09-23 13:21:30,2,1099.0,0.05,2198.0,2088.1,620.0,1468.1,Completed,5,0
TXN-10089,CUST-1074,PROD-12,REP-04,2024-09-23 01:28:30,1,899.0,0.05,899.0,854.05,280.0,574.05,Completed,1,0
TXN-10090,CUST-1040,PROD-05,REP-02,2024-09-24 01:56:30,2,599.0,0.05,1198.0,1138.1,360.0,778.1,Completed,4,0
TXN-10091,CUST-0115,PROD-10,REP-06,2024-09-24 02:26:30,2,449.0,0.0,898.0,898.0,300.0,598.0,Completed,5,0
TXN-10092,CUST-0502,PROD-12,REP-01,2024-09-24 03:19:30,2,899.0,0.0,1798.0,1798.0,560.0,1238.0,Cancelled,3,0
TXN-10093,CUST-0569,PROD-12,REP-01,2024-09-24 05:10:30,1,899.0,0.1,899.0,809.1,280.0,529.1,Completed,1,0
TXN-10094,CUST-0621,PROD-04,REP-03,2024-09-24 03:08:30,1,499.0,0.05,499.0,474.05,120.0,354.05,Completed,3,0
TXN-10095,CUST-1100,PROD-06,REP-01,2024-09-24 07:41:30,3,1099.0,0.0,3297.0,3297.0,930.0,2367.0,Completed,2,0
TXN-10096,CUST-0975,PROD-02,REP-01,2024-09-24 07:40:30,2,799.0,0.0,1598.0,1598.0,440.0,1158.0,Completed,3,0
TXN-10097,CUST-1192,PROD-02,REP-07,2024-09-24 09:35:30,2,799.0,0.0,1598.0,1598.0,440.0,1158.0,Completed,5,0
TXN-10098,CUST-0935,PROD-05,REP-01,2024-09-24 10:26:30,3,599.0,0.05,1797.0,1707.15,540.0,1167.15,Completed,4,0
TXN-10099,CUST-1039,PROD-09,REP-05,2024-09-24 02:56:30,1,1299.0,0.05,1299.0,1234.05,390.0,844.05,Completed,5,0
TXN-10100,CUST-0699,PROD-11,REP-05,2024-09-25 08:50:30,2,299.0,0.0,598.0,598.0,180.0,418.0,Completed,1,0
TXN-10101,CUST-0999,PROD-06,REP-01,2024-09-25 12:46:30,4,1099.0,0.05,4396.0,4176.2,1240.0,2936.2,Completed,4,0
TXN-10102,CUST-0885,PROD-02,REP-05,2024-09-25 02:39:30,4,799.0,0.0,3196.0,3196.0,880.0,2316.0,Completed,4,0
TXN-10103,CUST-0375,PROD-02,REP-02,2024-09-25 09:27:30,3,799.0,0.0,2397.0,2397.0,660.0,1737.0,Completed,3,0
TXN-10104,CUST-1087,PROD-02,REP-05,2024-09-25 06:24:30,2,799.0,0.15,1598.0,1358.3,440.0,918.3,Completed,1,0
TXN-10105,CUST-0664,PROD-04,REP-01,2024-09-25 10:44:30,3,499.0,0.1,1497.0,1347.3,360.0,987.3,Completed,3,0
TXN-10106,CUST-0322,PROD-09,REP-07,2024-09-25 10:17:30,8,1299.0,0.05,10392.0,9872.4,3120.0,6752.4,Completed,1,0
TXN-10107,CUST-0552,PROD-05,REP-03,2024-09-25 13:21:30,2,599.0,0.1,1198.0,1078.2,360.0,718.2,Completed,1,0
TXN-10108,CUST-0684,PROD-12,REP-05,2024-09-25 02:54:30,1,899.0,0.0,899.0,899.0,280.0,619.0,Completed,2,0
TXN-10109,CUST-0012,PROD-01,REP-06,2024-09-25 13:01:30,5,1499.0,0.0,7495.0,7495.0,2250.0,5245.0,Completed,4,0
TXN-10110,CUST-0562,PROD-12,REP-02,2024-09-25 08:24:30,1,899.0,0.05,899.0,854.05,280.0,574.05,Completed,3,0
TXN-10111,CUST-0660,PROD-07,REP-06,2024-09-25 05:36:30,1,1699.0,0.05,1699.0,1614.05,500.0,1114.05,Completed,3,0
TXN-10112,CUST-1031,PROD-05,REP-05,2024-09-25 04:14:30,1,599.0,0.0,599.0,599.0,180.0,419.0,Completed,1,0
TXN-10113,CUST-0963,PROD-11,REP-02,2024-09-25 08:21:30,79,299.0,0.15,23621.0,20077.85,7110.0,12967.85,Cancelled,1,1
TXN-10114,CUST-0512,PROD-10,REP-05,2024-09-26 12:06:30,2,449.0,0.0,898.0,898.0,300.0,598.0,Completed,1,0
TXN-10115,CUST-1102,PROD-08,REP-05,2024-09-26 05:52:30,4,699.0,0.0,2796.0,2796.0,800.0,1996.0,Completed,2,0
TXN-10116,CUST-0665,PROD-03,REP-06,2024-09-26 11:39:30,4,2199.0,0.05,8796.0,8356.2,2600.0,5756.2,Completed,2,0
TXN-10117,CUST-0898,PROD-06,REP-03,2024-09-26 08:40:30,2,1099.0,0.1,2198.0,1978.2,620.0,1358.2,Completed,2,0
TXN-10118,CUST-0597,PROD-03,REP-02,2024-09-26 09:27:30,3,2199.0,0.89,6597.0,725.67,1950.0,-1224.33,Completed,5,1
TXN-10119,CUST-0440,PROD-06,REP-01,2024-09-26 13:03:30,2,1099.0,0.0,2198.0,2198.0,620.0,1578.0,Completed,3,0
TXN-10120,CUST-0531,PROD-10,REP-05,2024-09-26 11:20:30,3,449.0,0.0,1347.0,1347.0,450.0,897.0,Completed,5,0
TXN-10121,CUST-0812,PROD-01,REP-05,2024-09-26 07:02:30,3,1499.0,0.0,4497.0,4497.0,1350.0,3147.0,Processing,1,0
TXN-10122,CUST-1159,PROD-01,REP-06,2024-09-26 05:36:30,5,1499.0,0.1,7495.0,6745.5,2250.0,4495.5,Completed,1,0
TXN-10123,CUST-0579,PROD-11,REP-07,2024-09-26 09:06:30,1,299.0,0.0,299.0,299.0,90.0,209.0,Completed,1,0
TXN-10124,CUST-0231,PROD-09,REP-02,2024-09-26 09:24:30,3,1299.0,0.0,3897.0,3897.0,1170.0,2727.0,Refunded,3,0
TXN-10125,CUST-0391,PROD-11,REP-03,2024-09-26 10:16:30,1,299.0,0.0,299.0,299.0,90.0,209.0,Completed,1,0
TXN-10126,CUST-0677,PROD-03,REP-03,2024-09-26 11:44:30,2,2199.0,0.0,4398.0,4398.0,1300.0,3098.0,Completed,6,0
TXN-10127,CUST-0886,PROD-07,REP-03,2024-09-26 12:22:30,2,1699.0,0.0,3398.0,3398.0,1000.0,2398.0,Completed,2,0
TXN-10128,CUST-0462,PROD-07,REP-07,2024-09-26 00:35:30,3,1699.0,0.86,5097.0,713.58,1500.0,-786.42,Completed,2,1
TXN-10129,CUST-1091,PROD-11,REP-05,2024-09-27 12:55:30,2,299.0,0.1,598.0,538.2,180.0,358.2,Completed,2,0
TXN-10130,CUST-1182,PROD-04,REP-01,2024-09-27 06:32:30,3,499.0,0.0,1497.0,1497.0,360.0,1137.0,Completed,2,0
TXN-10131,CUST-0081,PROD-09,REP-04,2024-09-27 01:09:30,1,1299.0,0.0,1299.0,1299.0,390.0,909.0,Completed,5,0
TXN-10132,CUST-0428,PROD-05,REP-03,2024-09-27 04:17:30,1,599.0,0.2,599.0,479.2,180.0,299.2,Completed,3,0
TXN-10133,CUST-0728,PROD-03,REP-01,2024-09-27 04:24:30,4,2199.0,0.15,8796.0,7476.6,2600.0,4876.6,Completed,1,0
TXN-10134,CUST-0910,PROD-07,REP-03,2024-09-27 06:36:30,1,1699.0,0.0,1699.0,1699.0,500.0,1199.0,Completed,1,0
TXN-10135,CUST-0256,PROD-03,REP-02,2024-09-27 12:59:30,2,2199.0,0.05,4398.0,4178.1,1300.0,2878.1,Completed,1,0
TXN-10136,CUST-0430,PROD-08,REP-01,2024-09-27 03:23:30,3,699.0,0.0,2097.0,2097.0,600.0,1497.0,Processing,1,0
TXN-10137,CUST-0431,PROD-09,REP-03,2024-09-27 06:47:30,1,1299.0,0.0,1299.0,1299.0,390.0,909.0,Completed,2,0
TXN-10138,CUST-0015,PROD-07,REP-05,2024-09-27 07:36:30,1,1699.0,0.1,1699.0,1529.1,500.0,1029.1,Completed,4,0
TXN-10139,CUST-0134,PROD-11,REP-06,2024-09-27 05:28:30,1,299.0,0.2,299.0,239.2,90.0,149.2,Completed,3,0
